대환,새로운 대출을 받아 기존의 대출금 연체금 등을 갚는 행위,"""특정채무담보는 채무자가 채권자에 대하여 부담하는 특정된 채무만을 담보하는 것으로 그 채무가 연기ㆍ재취급 또는 다른 여신으로 대환된 때에는 담보하지 않습니다"""
도래하다,이르다 오다 닥치다,"""대출의 상환기일이 도래하기 전에 대출금을 상환할 경우 고객이 부담하는 금액"""
멸실 ,경제적 효용을 전부 상실할 정도로 파괴되는 것,"""천재지변 또는 화재(아래에 해당하는 경우에 한함)에 의한 주택멸실로 보증(대출)잔액의 전부를 해지(상환)하시는 때에는"""
무위변상,어김없이(꼭) 변상,"""공사에서 주택연금의 지급정지 등의 조치를 하여도 이의를 제기하지 아니함은 물론 귀 공사에 미치는 손해에 대하여 무위변상 하겠습니다"""
변동금리기간,금리가 변동하여 적용되는 기간,
변제하다,갚다,"""주택연금은 원칙적으로 귀하와 배우자가 생존하는 동안에는 변제하지 않아도 됩니다"""
연대보증인 보증채무최고액,연대보증인이 책임질 금액의 한도,"""「보증인 보호를 위한 특별법」제2조 제1호의 보증인에 해당하는 아래의 연대보증인은 아래 기재된 보증채무최고액과 보증기간에 따라 보증책임을 부담합니다"""
부대비용,딸린 비용 관련된 비용,"""이 설명서는 은행여신거래기본약관(가계용)의 이자·지연배상금(연체이자) 및 부대비용에 대한 이해를 돕기 위하여 제공되는 자료로써"""
분납금,분할하여 납입하는 금액,"""을이 ○○○○공사(이하 “제3채무자”)에 대하여 가지는 분납금 및 전환보증금 등 반환채권을 갑에게 양도함에 있어 필요한 사항을 정함에 있다"""
산정,계산,"""보증한도 산정"""
산출하다,계산하다,"""인출한도는 당해 담보주택 가격을 기준으로 귀 공사가 정한 방법에 따라 산출된 대출한도의 50% 범위 내에서 본인이 선택하여 결정하며"""
상기(上記),위(의) 위에 적은,"""본인과 본인의 배우자는 상기 주택보유수의 확인과 관련하여 귀 공사의 청구가 있을 때에는"""
상위없다,서로 다르지(어긋나지) 않다,"""인영이 신고한 인감과 대조하여 상위없다고 인정하여"""
상환재원,상환자금,"""채무감면 요청사유(현재의 경제활동상황 및 상환재원의 조달방법 등)"""
서면,문서,"""본인 및 배우자 성명 주소 기타 신고사항에 변경이 있는 때에는 곧 서면(또는 전신)으로 귀 공사에게 통지하기로 합니다"""
선순위상환,일반적으로는 신규담보대출을 받을때 담보에 대한 선순위 권리가 있는 대출을 상환하는 것을 말함 주택담보대출 전세보증금 등 주택금융공사 대출보다 앞서 받은 대출을 상환하는 것,
설정권자,근저당권자,"""주택연금을 받으려면 공사를 설정권자로 하여 소유 주택에 근저당권을 설정해야 합니다"""
소명하다,해명하다 증명하다,"""이차보전종료사유에 해당하지 않음을 소명하면"""
소정(所定)의,(~에서) 정한,"""귀 공사 소정의 율과 계산방법에 따른 지연손해금을 지급하겠음"""
수개,여러 개,"""거래방식이 수개로 되어 있는 경우 은행직원의 설명을 듣고 해당되는 “□” 내에 “V” 표시 합니다"""
숙지하다,충분히 알다," ""본인 및 보증인은 아래 약정사항에 대하여 약정서와 약관내용을 숙지하였기에 동 사본을 수령함과 함께 연대하여 약정을 체결합니다"""
실효하(되)다,효력을 상실하다,"""이 분할상환 약정이 실효되는 경우에 귀 공사가 동 집행권원에 기한 강제집행 또는 담보권을 실행하더라도 아무런 이의가 없겠습니다"""
업황,사업현황,"""본인의 재산 경영 업황 등에 대하여 귀 공사의 요구가 있는 때에는 즉시 보고하겠으며 장부열람 등의 조사에 협력하겠음"""
연착,늦게 도착,"""귀 공사로부터 송부된 서류 등이 연착하거나 도착하지 않은 경우에는 보통 우편송달방법에 따라 도달하여야 할 때에 도달한 것으로 봅니다"""
우송,우편배달,"""연착되거나 도달되지 아니한 때에도 보통의 우송기간이 경과한 때에 도달한 것으로 보기로 함"""
은닉하다,숨기다,"""분할상환 약정금액을 초과하는 실익있는 재산을 소유하고 있었음에도 이를 은닉하고 이 분할상환 약정을 체결한 것으로 밝혀진 때"""
응낙하다,받아들이다,"""귀 공사의 직원이 본인의 경영상태와 재산을 감사하거나 경영에 참여하여도 이의 없겠으며 기타 귀 공사가 정하는 조건을 전적으로 응낙할 것임"""
이전하다,옮기다,"""귀하가 주택연금 이용 중 이사로 거주지를 이전하는 경우 담보주택을 변경하여 주택연금을 계속 이용할 수 있습니다"""
이차보전,금리를 우대하는 것. 이자차이(일반금리와 우대금리차이)를 정부 등으로부터 보전받는 것,"""본인은 다음 각호의 경우에는 이차보전이 즉시 종료되며 종료된 이차보전은 재개되지 않음을 확인합니다"""
이차보전금(액),이차보전으로 경감받은 이자액,"""향후 정부 전산망 등 기타 증명에 의하여 본조 제1항의 내용이 사실과 다른 것으로 확인된 경우 이차보전금 반환의무가 발생할 뿐만 아니라"""
이차보전금리,우대금리,"""본인은 제10조 제1항 내지 제3항의 대출 자격요건에 의하여 적용되는 이차보전금리가 (     )% 이고 이 약정서 제1조에 규정된 금리는 이차보전금리가 적용된 금리임을 확인합니다"""
인영,도장을 찍은 모양,"""증서 기타 문서의 인영이 신고한 인감과 상당한 주의로써 대조하여 상위 없다고 인정하여 거래한 때에는"""
잔존,남은,"""본인은 제1조의 신용보증약정서에 의한 잔존 채무를 조속히 상환하겠으며"""
전매,제3자에 되파는 행위,“갑”은 “을”의 전매동의 요청시 귀 공사와 대출기관의 동의없이는 “을”이외의 제3자에 대한 전매 등 권리승계 계약을 하지 않기로 한다.
전환보증금,임대료 부담을 낮추기 위해 추가로 납부하는 보증금,"""본 계약의 목적은 을이 갑에 대하여 현재 및 장래에 부담하는 채무를 담보하기 위하여 을이 ○○○○공사(이하 “제3채무자”)에 대하여 가지는 분납금 및 전환보증금 등 반환채권을 갑에게 양도함에 있어 필요한 사항을 정함에 있다"""
제(諸),여러 모든,"""담보는 귀 공사가 추심 또는 처분하고 그 취득금에서 제 비용을 뺀 잔액을 제13조에 준하여 채무의 변제에 충당할 수 있기로 하며 본인은 나머지 채무가 있는 경우에는 곧 변제하겠음"""
제반,모든,"""제1항의 통지는 서면으로 하되 특별한 사정이 없는 한 이 약정에 의한 제반 통지 절차에 준용됨을 인정합니다"""
조세공과,세금과 공과금,"""조세공과를 체납하여 압류를 당한 때"""
존속하다,남아있다,"""제1조의 채무가 본인의 채무로 계속 존속함을 인정합니다"""
주택 물건지,주택 소재지,
증빙(서류  자료),증명자료,"""소득 증빙"""
질권설정,일반적으로 채권자가 채권의 담보로서 채무자 등으로부터 받은 담보물을 채무의 변제시까지 점유하는 행위 임차인이 임대인으로부터 받을 수 있는 전세보증금채권을 은행에 담보로 제공하는 것,"""본인(임대인)은 본 확인서 작성일 현재 위 임차보증금에 제3자로부터 압류 가압류 전부ㆍ추심명령 채권양도통지 등 일체의 권리침해 사실이 없음을 확인하며 질권설정을 승낙하기로 한다"""
징구하다,내게 하다 제출하게 하다 받다,"""집단승인의 방식으로 보증서를 발급한 보증의 보증기한 만료시 공사는 보증기한연장에 관하여 별도의 신청서를 징구하지 아니하고"""
초일산입 말일불산입,시작하는 날은 포함하고 끝나는 날은 포함하지 않음,"""1년을 365일로 보고 초일산입 말일불산입하여 후취로 계산합니다"""
판명되다,밝혀지다,"""본인은 정부 전산망에 대한 전산 검색자료 기타 증빙자료에 의하여 상기 주택보유수의 확인내용과 다른 것으로 판명될 때에는"""
하등(何等)의,아무런 어떠한,"""귀 공사의 미회수 채권에 충당하여도 하등의 이의를 제기하지 않겠습니다"""
해태하다,게을리하다 제때 하지 않다,"""신고를 해태함으로써 귀 공사로부터 통지 또는 송부된 서류 등이 연착하거나 도착하지 아니한 경우에는"""
현저하다,눈에띄게 드러나다 두드러지다,"""보증인의 능력에 현저한 변동이 있는 때에는 즉시 추가담보를 제공하거나 보증인을 추가로 세우겠음"""
환급하다,되돌려주다,"""보증잔액의 일부 또는 전부를 상환한 경우 초기보증료는 환급해 드리지 않으며"""
DTI,총부채상환비율(Dept To Income),"""보금자리론은 LTV 및 DTI 허용한도 내에서 운용됩니다"""
LTV,담보인정비율(Loan To Value),"""보금자리론은 LTV 및 DTI 허용한도 내에서 운용됩니다"""
MBS,주택저당증권(Mortgage Backed Securities),
MBB,주택저당채권담보부채권(Mortgage Backed Bonds),
SLBS,학자금대출증권(Student Loan Backed Securities),
(근)저당권,채권자가 빌려준 돈을 다른 채권자보다 우선 회수하기 위하여 채무자 또는 제3자 소유의 부동산 등을 담보로 설정하는 권리,
감리보고서,정부의 허가를 받은 감시자가 건설회사가 사업계획대로 공사하는지를 확인해주는 서류,
감리자,정부로부터 허가를 받아서 건설회사가 사업계획대로 공사하는지를 감시하는 사람,
개별공시지가,세금업무 등에 활용하기 위하여 정부나 지자체가 각각의 땅에 대하여 정한 가격,
거주주택,실제로 살고있는 집,
건설자금보증,분양ㆍ임대를 위하여 아파트 등을 지을 때 받는 보증,
건축허가,20세대 미만의 집을 짓기 위하여 지자체에서 받는 허가,
결산기,회계연도의 말일(국내 기업의 경우 대부분 12월 31일),
경영실권자,호칭과 상관없이 실제로 기업을 운영하는 사람,
경영진,기업체를 관리하고 운영하는 사람들,
골조공사,건물의 뼈대를 세우는 공사,
공동사업자,주택사업을 같이 수행하는 사람,
공정률,공사 진행 정도를 전체 공사에 대한 백분율로 표시한 것,
공정확인서,감리자가 공사가 어느 정도 완료되었는지 확인한 서류,
과점주주,회사주식의 50%를 넘는 지분을 가지고 있는 친척관계인 사람들,
관계기업,실제로 같은 사람이 운영하는 회사들,
권리침해,본사 사업장 집 등에 대한 경매 압류 가압류 가처분,
금융거래확인서,은행이 고객의 대출현황 담보 어음거래 연체내역 등을 확인해주는 서류,
기대출금,보증서 발급 전에 보증신청인에게 은행이 빌려준 대출,
기성률,공사진행 정도를 ‘공사에 들어가는 전체사업비에 대한 지출사업비 비율'로 표시한 것,
기업실태표,회사의 일반현황 대표자 은행거래 주택사업현황 등을 회사가 작성하여 공사에 제출하는 서류,
기투입사업비,주택사업에 이미 들어간 자금,
기한연장,대출금의 상환일 또는 보증의 만기일을 뒤로 미루는 것,
납세증명(국세 지방세),국가나 지자체에 내야 할 세금을 다 냈다는 증명,
담보부대출,전체 대출 중 땅을 담보로 대출할 수 있는 금액,
담보신탁,부동산을 신탁회사에 맡기고 은행으로부터 대출을 받는 신탁 상품,
담보제공자,다른 사람을 위하여 자기의 재산을 담보로 제공한 사람,
당좌거래은행,어음이나 수표의 거래를 위하여 당좌예금을 든 은행,
당해대출,본건 관련 총 대출(담보대출+보증대출),
대위변제,공사가 채무자를 대신하여 은행에 돈을 갚아줌으로써 법률상 채권자로서의 권리가 공사로 이전되는 것,
대표자,회사의 대표 대표이사,
대환,새로운 대출을 받아 기존 대출을 상환하는 것,
도급공사,다른 사람에게 공사를 맡기는 것,
도장공사,건물의 안팎에 색을 칠하는 공사,
동일사업장 보증한도,1개의 사업장에 대해서 보증할 수 있는 최대 금액,
목공사,나무로 제품과 시설 등을 만들어 조립 설치하는 공사,
미등록사업자,주택사업자등록을 하지않고 1년간 20세대 미만의 주택을 지을 수 있는 회사,
미장공사,벽이나 천장 등에 흙 시멘트 등을 바르는 공사,
보증 해지,대출을 갚거나 준공된 건물을 담보로 잡아 공사의 보증책임이 없어지는 것,
보증금지대상,공사가 돈을 대신 갚아준 사람과 회사 등 공사가 보증을 금지한 사람 또는 회사,
보증기한,공사가 발급한 보증서의 만기,
보증료,보증 이용 시 공사에 내는 수수료,
보증부대출,사업 관련 총 대출 중 땅값 대출을 뺀 금액,
보증상대처,보증서를 받고 대출을 해주는 은행,
보증승인,신청한 보증에 대하여 보증을 해주기로 결정하는 것,
보증신청,보증을 받기 위하여 필요 서류를 공사에 제출하는 것,
보증제한대상,신용에 문제가 있어 공사가 보증을 제한한 회사,
보증채무이행,공사가 채무자를 대신하여 은행에 돈을 갚아 주는 것,
보증특약,보증해줄 때 공사가 은행에 부여하는 특별한 조건 ,
부분보증,공사가 대출금의 일부만 보증하는 것,
부채비율,회사의 자기자본에 대한 부채의 비율,
분할보증,신청사업의 총 보증승인금액을 공정률에 따라 나누어 발급하는 보증방법,
빈번한 연체,3개월 이내에 30일 이상 대출을 연체하거나 10일 이상 연체가 4건 이상이 있는 경우,
사업대지담보가액,은행이 땅을 담보로 대출할 수 있는 금액,
사업유형,주택사업의 유형(분양ㆍ임대),
사업자보증,분양ㆍ임대를 위해 아파트 등을 짓거나 사는 회사에게 공사가 해주는 보증,
사용승인,공사가 끝난 건물을 사용해도 된다고 지자체가 승인해 주는 것,
상가건축비,총 사업비 중 상가를 짓는데 드는 비용,
서명날인,이름을 쓰고 도장을 찍는 것,
선급률,공정률에 따라 대출금을 지급하는 취급은행이 사업초기에 공정률을 초과하여 대출금을 지급하는 비율,
선분양,공사 시작과 동시에 입주자를 모집하는 것,
손해금,공사가 채무자 대신 은행에 갚아준 돈에 대한 이자,
순수개인,사업자등록을 하지 않은 사람,
신용관리정보,신용에 문제가 있다고 기록된 정보,
신용보증신청서,회사가 대출은행의 확인을 받아 보증을 신청하는 서류,
신용보증약관,공사와 은행이 보증과 관련된 원칙을 미리 정한 계약서,
신용보증약정서,신청인과 연대보증인이 보증이용 시 부담하는 책임을 정해놓은 서류,
신용조사,회사를 평가하기 위하여 회사현황 대표자 금융거래현황 등을 조사하는 것,
여신기술검토서,국민주택기금이 대출을 할 때 설계도 토지 건물면적 등을 검토하여 만드는 담보물 평가서,
연대보증,채무자와 같은 위치에서 빚을 갚을 것을 약속하는 것,
연대보증인,연대보증을 한 사람 또는 회사,
연서,한 문서에 두명 이상이 서명하는 것,
연체보증료,연체된 보증료에 대하여 내야 하는 수수료,
원리금,대출금의 원금과 이자를 합한 금액,
유치권,도급공사를 한 건설회사가 공사비를 받을 때까지 건물을 넘겨주지 않을 권리,
은행계정보증,정부 돈(국민주택기금)이 아닌 은행돈으로 대출해 주는 주택사업에 대한 보증,
일반분양설치비,모델하우스비 홍보비 등 분양을 위해 들어가는 비용,
자기자본 전액잠식,회사의 손실발생으로 자기자본(자본금+잉여금)이 0원 이하로 된 경우,
자서날인,자신의 이름을 쓰고 도장을 찍는 것,
자필서명,자신의 이름을 쓰는 것,
조건변경,보증서의 내용과 승인 조건을 바꾸는 것,
조적공사,벽돌공사,
주 건설사업장,하나의 회사가 진행하는 여러개의 주택사업 중 세대수가 가장 많은 사업장,
주된사업자,다수의 회사가 공동으로 사업을 진행하는 경우에 실제로 사업을 이끌어가는 회사,
주택건축비,총 사업비 중 주택을 짓는데 드는 돈,
주택금융기관,주택자금을 빌려 주는 은행,
주택담보인정비율,집을 담보로 빌려줄 수 있는 돈을 집값으로 나눈 비율,
주택사업자,분양ㆍ임대를 위하여 집을 짓거나 사는 사업자,
차입금,대출금 빌린 돈,
창호공사,창틀과 창문을 제작하여 건물에 붙이는 공사,
채권자 책임분담금액,부분보증을 할 때 대출금 중 은행이 책임지는 부분,
채무관계자,보증신청인 연대보증인 등 보증과 관계있는 채무자들,
책임사용승인,시공사가 전쟁 천재지변 등 불가피한 경우 외에는 공사기간 안에 준공을 하겠다는 약속,
총사업비,주택사업에 들어가는 모든 비용,
추가보증료,보증기한까지 보증이 해지되지 않을 때 받는 수수료,
친환경주택,주택건설기준 등에 관한 규정'에 따른 에너지 절약형 친환경주택,
피보증인,공사로부터 보증을 받는(받은) 사람,
현장조사,보증심사를 위하여 회사 사업장을 찾아가 조사하는 것,
호의보증인,아무런 경제적 대가 없이 호의로 보증을 선 보증인,
후분양,법에 의하여 일정 공정률을 완료한 후에 분양하는 것 (보통 골조공사의 2/3이상),
개인보증,주택수요자가 주택을 구입 중도금 및 잔금 납부 임차 개량하기 위해 금융기관으로부터 주택자금을 받고자 하는 개인에 대한 보증       ,
구입자금보증,주택수요자가 주택을 신축하거나 구입하는 데 소요되는 자금에 대한 보증,
전세자금보증,세입자가 임대차계약을 체결하고 잔금 등을 지급하는 데 소요되는 자금에 대한 보증,
중도금보증,주택수요자가 주택을 분양받아 계약을 체결한 경우 중도금 등 분양대금 납부에 소요되는 자금에 대한 보증,
개량자금보증,주택수요자가 건축허가 등을 얻어 주택을 수선  증ㆍ개축하는 데 소요되는 자금에 대한 보증,
임대보증금반환자금보증,임대인이 임대보증금을 반환하는 데 소요되는 자금에 대한 보증,
사업자보증,분양 또는 임대의 목적으로 주택을 건설하기 위하여 금융기관으로부터 주택자금대출을 받고자 하는 사업자에 대한 보증,
주택사업자보증,주택사업자가 주택수요자에게 분양 또는 임대의 목적으로 주택을 건설 또는 구입하기 위한 자금에 대한 보증,
사업주보증,사업주가 근로자에게 분양 또는 임대(무상임대 포함)의 목적으로 주택을 건설 또는 구입하기 위한 자금에 대한 보증,
매입임대사업자보증,매입임대사업자가 주택임대사업의 목적으로 주택을 구입하기 위한 자금에 대한 보증,
